leg_no,fn_number,dep_ap_sched,arr_ap_sched,dep_sched,arr_sched,m_offblockdt,m_onblockdt,departure_delay,arrival_delay,sched_flight_time,act_flight_time,ac_registration,change_reason_code,ac_type_code,trans_time,sched_trans_time,trans_time_delay,crew_group,crew_type_change,sched_ground_time,ground_time_delay,act_ground_time,catering_duration,pax_boarding_duration,flight_time_delay,dep_inbound_weekday,arr_weekday,dep_time_of_day,arr_time_of_day,anzahl_personal
271955575,EC2567,East Carmen,West Bryanstad,2019-06-01 04:30:00,2019-06-01 05:35:00,2019-06-01 05:32:00,2019-06-01 06:31:00,62.0,56.0,65.0,59.0,ECLBBX,technical problem,320,0,0,0,Start,[],40.0,-44.0,-4.0,,,-6.0,Saturday,Saturday,Night,Morning Peak,6
272191079,EC2767,East Carmen,Port Amberfort,2019-06-01 04:35:00,2019-06-01 06:50:00,2019-06-01 05:36:00,2019-06-01 07:47:00,61.0,57.0,135.0,131.0,ECLXBX,technical problem,320,0,0,0,Start,[],45.0,-43.0,2.0,,,-4.0,Saturday,Saturday,Night,Morning Peak,6
271975116,EC2733,Fisherhaven,Lake Lawrencechester,2019-06-01 04:35:00,2019-06-01 05:45:00,2019-06-01 05:41:00,2019-06-01 06:44:00,66.0,59.0,70.0,63.0,ECLGRX,technical problem,DH4,0,0,0,Start,[],60.0,-47.0,13.0,,,-7.0,Saturday,Saturday,Night,Morning Peak,4
271979824,EC2774,Port Amberfort,East Carmen,2019-06-01 04:35:00,2019-06-01 06:50:00,2019-06-01 04:50:00,2019-06-01 07:03:00,15.0,13.0,135.0,133.0,ECLWMX,other problem,E95,0,0,0,Start,[],60.0,0.0,60.0,27.0,21.0,-2.0,Saturday,Saturday,Night,Morning Peak,5
272009389,EC3159,East Carmen,North Anna,2019-06-01 04:40:00,2019-06-01 05:30:00,2019-06-01 04:53:00,2019-06-01 05:43:00,13.0,13.0,50.0,50.0,ECLGQX,other problem,DH4,0,0,0,Start,[],40.0,8.0,48.0,,,0.0,Saturday,Saturday,Night,Morning Peak,4
271980424,EC2788,Castroville,East Carmen,2019-06-01 04:45:00,2019-06-01 07:10:00,2019-06-01 04:45:00,2019-06-01 07:08:00,0.0,-2.0,145.0,143.0,ECLWIX,no reason,E95,0,0,0,Start,[],40.0,65.0,105.0,17.0,21.0,-2.0,Saturday,Saturday,Night,Morning Peak,5
271961154,EC2614,Yoderburgh,East Carmen,2019-06-01 04:50:00,2019-06-01 06:25:00,2019-06-01 04:54:00,2019-06-01 06:21:00,4.0,-4.0,95.0,87.0,ECLDAX,other problem,320,0,0,0,Start,[],115.0,66.0,181.0,,,-8.0,Saturday,Saturday,Night,Morning Peak,5
271987826,EC2907,East Carmen,Desireeton,2019-06-01 04:50:00,2019-06-01 07:20:00,2019-06-01 05:57:00,2019-06-01 08:24:00,67.0,64.0,150.0,147.0,ECLBNX,technical problem,320,0,0,0,Start,[],45.0,-46.0,-1.0,,,-3.0,Saturday,Saturday,Night,Morning Peak,6
272205857,EC3137,East Carmen,Keithberg,2019-06-01 04:50:00,2019-06-01 05:40:00,2019-06-01 05:04:00,2019-06-01 05:57:00,14.0,17.0,50.0,53.0,ECLGNX,other problem,DH4,0,0,0,Start,[],40.0,1.0,41.0,26.0,26.0,3.0,Saturday,Saturday,Night,Morning Peak,4
272016390,EC3224,Youngland,East Carmen,2019-06-01 04:55:00,2019-06-01 06:40:00,2019-06-01 05:14:00,2019-06-01 06:39:00,19.0,-1.0,105.0,85.0,ECLBCX,other problem,320,0,0,0,Start,[],90.0,66.0,156.0,29.0,32.0,-20.0,Saturday,Saturday,Night,Morning Peak,6
